AppliedSchool,Degree,Major,Result,Year,EnglishLevel,TOEFL,IELTS,GRE,School,SchoolMajor,GPA,Post_School,Post_Major,Post_GPA,Other_Info
北卡罗莱纳州立大学,硕士,Mechanical Engineering,录取,2015,2,97.0,,314,双非,机械设计制造及其自动化汽车工程,85.54,,,,
香港科技大学,硕士,Economics and Econometrics,录取,2015,4,110.0,,0,211,,88.0,,,,"四大行实习两个 一个政府部门实习
其他杂七杂八的课外活动很多 志愿者、给WHO官员翻译、学校创业项目成立外贸团购网站等等"
南洋理工大学,硕士,Precision Engineering,录取,2016,3,101.0,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,测控技术与仪器,85.0,,,,一次米国暑假交流，一次CES参展，一个国家比赛一等奖，几个奖学金，无牛推，无项目
伦敦大学玛丽女王学院,硕士,Film Studies,录取,2016,0,,,0,211,广告学,87.0,,,,
香港理工大学,硕士,Bioengineering and Biomedical Engineering,录取,2014,0,,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,生物科学（bioscience）,80.0,,,,一般的推荐
斯德哥尔摩大学,硕士,International and Comparative Education,录取,2016,2,,6.5,0,双非,师范英语,92.0,,,,"师范英语专业 瑞典交换一年 校奖很多 省重点高中优秀实习生 金鸡百花电影节志愿者外宾接待
有系主任和瑞典实习导师的推荐信
全国高师学生英语教师技能大赛二级一等奖...
我觉得最关键是在瑞典交换过一年吧 才低空飘过录取线~~~"
波士顿大学,硕士,International Relations and International Communication,录取,2015,3,105.0,,326,双非,国际政治,89.0,,,,国家奖学金，校级一等奖学金，水论文一篇，牛推（应该算）一个，科研项目若干。
华威大学,硕士,Educational Research,录取,2015,3,,7.0,0,,国际经济,86.0,,,,"4年英语教学经验。曾任RISE Teaching Supervisor,现为Wharton Teaching Director.
一位副教授，一位本科毕业论文导师推荐。
全国英语二级翻译证书（北外）。
国家四级育婴师，三级营养师。
钢琴演奏十级。"
加州大学洛杉矶分校,硕士,Architecture,录取,2015,3,100.0,,316,211 & 985,建筑学,87.0,,,,
香港城市大学,硕士,Applied Economics,录取,2016,2,,6.5,0,,社会学,84.0,,,,
伦敦大学学院,硕士,Digital Humanities,录取,2016,3,,7.0,0,211 & 985,汉语言文学,84.0,,,,申请不算早，过年放假的时候提交的。简历中规中矩，有两次实习一次交流，除此之外也没什么了。中间经过了一次电面，不过说是电面其实只是非正式聊天，聊了毕业论文主题、选择DH的原因、以后想干什么等等，觉得过程中自己说得不算多，更多时候是招生官在介绍课程...
哥本哈根大学,硕士,Pharmaceutical Sciences,录取,2015,3,104.0,,0,211 & 985,药学,84.0,,,,瑞典隆德大学交流一年
香港科技大学,硕士,Accounting,录取,2015,3,109.0,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,89.3,,,,
伯明翰大学,硕士,"Critical Discourse, Culture and Communication",录取,2015,2,92.0,,0,211 & 985,汉语言文学,88.0,,,,"三封推荐信：导师、系主任、实习领导
两个实习：一省级电视台、一国内知名视频网站
台湾交换半年"
香港浸会大学,硕士,Media Management,录取,2015,2,,6.5,0,211 & 985,广告学,84.0,,,,经历拿过一些校级竞赛若干，一个省级竞赛优秀奖，各种三好先进，两年奖学金无论文，无特别抢眼的实习经历。不过我不去啦
利物浦大学,硕士,Finance,录取,2015,0,,,0,双非,金融,85.0,,,,
哥伦比亚大学,博士,Chemical Engineering,录取,2017,3,103.0,,329,清华/北大/中科大,化学工程,89.0,,,,明大的暑研，一篇二作paper在投
香港大学,硕士,Mechanical Engineering,录取,2016,3,105.0,,317,清华/北大/中科大,,81.0,,,,
加州大学伯克利分校,博士,History,录取,2015,4,115.0,,329,国外高校（含港澳台）,非历史非东亚,89.0,国外高校（含港澳台）,2nd = history,,"一篇半book review（英文版一篇，威力加强版中文）；
两篇水文……"
台湾大学,硕士,Economics,录取,2017,3,108.0,,324,双非,经济学,84.0,,,,
香港理工大学,硕士,Operation Research,录取,2014,0,,,0,双非,金融工程,84.0,,,,水论文一篇于省级刊物。水实习1个。国奖都没拿过。
香港中文大学,硕士,Marketing,录取,2017,3,,7.0,0,双非,会展经济与管理,88.0,,,,楼主没什么特别的实习经验什么，都有点水的。奖学金每学期都有的
建筑联盟学院,硕士,Landscape Urbanism,录取,2015,0,,,0,国外高校（含港澳台）,建筑学,86.0,,,,"目前英国利物浦大学建筑系本科在读Final year.

本科是西交利物浦大学建筑系2+2到英国利物浦大学，拿的是英国本科文凭 BA of Architecture 并且还有RIBA PartI，拿到的都是conditional offer，巴斯要求雅思7.0， 其他的也都是要求我能拿到60分以上（upper second class）顺利毕业就好了（UCL 只要了50分 lower second class）。

自学了平面设计的一些理论和软件，有平面设计的工作经验（杂志美编，公司品牌宣传 名片设计等等）纯属本人对设计类相关专业的爱好啦。

目前为止还没有考过雅思。"
香港科技大学,硕士,Teaching Chinese as a Second Language,录取,2014,0,,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,86.2,,,,北京教育科学研究院实习 支教 汉办HSK命题员 专业实习（大部分时间都给老师做TA了） 银行实习 韩国半年带奖交换，交换成绩3.72/4.3，期间给一位澳籍教授做项目，并拿到了教授的推荐信（教授亲自写的） 系主任推荐信一封 校内教授推荐信一封 各种奖学金和社团实践
西北大学,硕士,Journalism,录取,2017,4,113.0,,330,,英语,84.0,,,,
乔治城大学,硕士,"Communication, Culture and Technology",录取,2016,3,104.0,,322,211,国际商务,81.0,,,,实习有一个DELL的市场部实习，一个CRI的实习，别的也没什么值得拿出来的经历。推荐信两封分别来自CRI和CNR的前辈，一封来自学校的老师，不是牛推。
范德堡大学,硕士,American Law,录取,2017,3,,7.0,0,211,法学,86.0,211,法学,AA,中上内所实习三个月，北京市司法局实习三个月，检察院实习一个月，两次志愿者经历，拿过一奖三奖
伊利诺伊大学厄巴纳-香槟分校,硕士,Law,录取,2015,3,103.0,,0,双非,法学,84.0,,,,二本院校毕业，本科期间一段欧洲交流经历，两段实习经历，一份律所，一份银行，但都不是大牛；比赛获奖若干，校级奖学金两次。无论文，无项目。毕业后两段工作经历，前一份和法律没太大关系。总之感觉自己的经历其实没有什么亮点。
密歇根大学安娜堡分校,硕士,Architecture,录取,2017,0,,,321,,建筑学,86.41,,,,
丹麦技术大学,硕士,Digital Media Engineering,录取,2015,4,,7.5,326,211 & 985,通信工程,86.0,,,,爱党爱人民
诺丁汉大学,硕士,Marketing,录取,2015,4,,7.5,0,,商务英语,84.0,,,,
纽约大学,硕士,Teaching English as a Second Language,录取,2015,3,102.0,,317,双非,汉语言文学,90.0,,,,有论文发表，在美国交换一个学期，推荐人两位为交换学校的老师，一位是本校班主任，一位是实习的小学校长。四段实习经历，获奖若干~
哥伦比亚大学,硕士,Economics and Econometrics,录取,2017,3,102.0,,322,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,电气工程,88.0,,,,
谢菲尔德大学,硕士,Global Journalism,录取,2014,0,,,0,双非,涉外翻译,88.0,,,,第四届亚太批发市场大会翻译，泰国举办的东盟青年营的中国代表。广播台干部，校内活动一堆
谢菲尔德大学,硕士,Creative and Cultural Industries Management,录取,2017,2,,6.5,0,211 & 985,民族学,87.3,,,,台湾交换半年，均分90。专业对口单位实习一份
华威大学,硕士,Economics,录取,2017,2,,6.5,331,211 & 985,工业工程,87.0,,,,
内布拉斯加大学医学中心,博士,Pharmaceutical Sciences,录取,2015,1,89.0,,318,211,基础药学理科基地班,84.0,211,药物化学,81,专利一篇，推荐信均来自自己学校老师。
香港中文大学,硕士,Religious Studies,录取,2015,2,,6.5,0,双非,汉语言文学,83.1,,,,"又拿到两个offer，好开心~感恩激动之情溢于言表~~背景双非啊双非，中大居然要我了！！背景一般的孩纸们一定要坚定信心啊！！！
没什么特长的，很普通的一个人。校级奖学金三个。一个实习。两个国奖。也许是ps写得比较动人~~(??????)??
决定放弃BU了，但是依然很看好BU的未来和实力。本来今天决定要接受BU的offer了，下午突然接到中大的offer欣喜若狂~
希望大家都能心想事成，梦想成真~！！"
香港科技大学,硕士,Financial Analysis,录取,2015,3,,7.0,0,211,经济学数学双学位,88.0,,,,
隆德大学,硕士,Welfare Policies and Management,录取,2014,0,,,0,双非,Labor and Social Security,85.0,,,,"推荐信三篇，都自己写的，老师和领导签字（据说学校也不看）
实习两段，政府机关，都不超过一个月（实际上就是暑假去玩儿了几天）
NGO工作经历一段（其实就是挂名而已）
奖学金都是校奖，其他也没有有分量的获奖经历，都是些学校内的乱糟糟的活动。"
