AppliedSchool,Degree,Major,Result,Year,EnglishLevel,TOEFL,IELTS,GRE,School,SchoolMajor,GPA,PostSchool,PostMajor,PostGPA,Other_Info
CEMFI,硕士,Economics and Econometrics,被拒,2015,2,92,,321,211,国际经济与贸易,84,,,,详见定位贴
阿卜杜拉国王科技大学,博士,Biomedical Science and Molecular Medicine,被拒,2016,2,91,,312,清华/北大/中科大,生物科学,81,清华/北大/中科大,生物学,84,一篇一作SCI在投，一篇y一作SCI和一篇共一作SCI即将完稿，一篇一作中文核心在投，一篇一作中文review在投
阿卜杜拉国王科技大学,硕士,Mechanical Engineering,被拒,2015,2,,6.5,0,211 & 985,机械设计制造及其自动化,84.7,,,,
阿卜杜拉国王科技大学,博士,Mechanical Engineering,被拒,2015,2,97,6.5,320,211 & 985,车辆和电气双学位,87,211 & 985,车辆,87,无牛推，有论文有项目
阿尔伯塔大学,硕士,Computer Science,被拒,2016,2,95,,318,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,电子与计算机工程,84,,,,3年工作经验。
阿尔伯塔大学,硕士,Electrical and Computer Engineering,被拒,2015,4,,7.5,0,双非,电子信息工程,84,,,,"本科研究经历不多，只有几个校内的小比赛和小项目，自我感觉都是可以忽略的。推荐信就是找的学院院长和两个上过课的老师~
所以申请的时候也不太敢申请MSc，基本都是申的Meng.感觉也是挺郁闷的- -!"
阿尔伯塔大学,硕士,Pathology,被拒,2015,3,,7,313,211 & 985,医学检验,84,,,,中文水一作一篇待发表（与申请方向毫不相关 而且后面才知道 根本没人看） 无牛推 本科5年 大三开始接触科研 混过3个实验室 养过细胞 膛过老鼠 其中两个是什么鬼国家重点实验室 没出过什么成绩 但有幸认识几个好推荐人 一个主任 在德国美帝呆过 另一个是我们实习的科主任 貌似去过美帝 具体不详 最后一个是我们某个附属医院的院长助理 奖学金混过三次三等奖 社会经历一大堆 但对于research-based的申请毫无帮助 忽略不计
阿尔伯塔大学,硕士,Electrical and Computer Engineering,被拒,2016,2,,6.5,0,211 & 985,电气工程,85,,,,无paper，无竞赛，无牛腿，有过实习，水过实验室。
阿尔伯塔大学,硕士,Chemistry,被拒,2015,2,,6.5,0,211 & 985,应用化学,88.6,,,,无论文，负责的创新项目结题，一次国奖，一次命名奖学金，若干校奖
阿尔伯塔大学,硕士,Computer Science,被拒,2017,3,103,,320,211 & 985,计算机科学与技术,89.2,,,,
阿尔伯塔大学,硕士,Construction Management,被拒,2017,3,,7,0,双非,土木工程,90,,,,
阿尔伯塔大学,博士,Mining and Mineral Engineering,被拒,2015,3,,7,325,211,矿物资源工程,93,211 & 985,采矿工程,88,EI、SCI各一篇
阿尔托大学,硕士,Architecture,被拒,2015,2,,6.5,0,双非,园林,80,211,风景园林硕士,84,博导推荐，研究生毕设水了个全国奖，工作一年半
阿尔托大学,硕士,Data Science,被拒,2015,2,,6.5,0,211,信息管理与信息系统,81,,,,三封推荐信，别的什么都没有了。
阿尔托大学,硕士,Computer Science,被拒,2016,3,,7,0,,通信工程,83.3,,,,无paper，无牛推，水项目，一个比赛水奖，学校奖学金，9个月的实习
阿尔托大学,硕士,Industrial and Product Design,被拒,2016,3,,7,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,工业设计,83.4,,,,
阿尔托大学,硕士,Maritime Engineering,被拒,2015,3,,7,0,211,Marine Engineering,84,,,,渣渣无paper无牛推，参与一些小项目，与国外志愿者有过合作实习但不是本专业，然后就是各种学校奖学金社团等小奖啦。
阿尔托大学,硕士,Mechanical Engineering,被拒,2015,2,,6.5,0,211 & 985,机械设计制造及其自动化,84.7,,,,
阿尔托大学,硕士,Electrical Engineering,被拒,2016,2,,6.5,0,211 & 985,电气工程,85,,,,无paper，无竞赛，无牛腿，有过实习，水过实验室。
阿尔托大学,硕士,Creative Sustainability,被拒,2016,2,,6.5,0,211,土木工程,85,211 & 985,结构工程,81,本专业工作两年，转专业500强水实习
阿尔托大学,硕士,Computer Science,被拒,2015,2,,6.5,0,双非,software engineering,86,,,,"国奖，有篇核心论文待审；
无牛推"
阿尔托大学,硕士,Collaborative and Industrial Design,被拒,2015,2,,6.5,0,211 & 985,工业设计,86,,,,两个校奖学金，几个设计奖，一个三个月的设计院实习
阿尔托大学,硕士,Collaborative and Industrial Design,被拒,2015,2,,6.5,0,211,工业设计,87,,,,"竞赛什么都没有，作品集里面有两个Delft的工作坊项目。其中一个是第一名。

CV里面写了写在学校因为成绩比较好得的两个奖学金"
阿尔托大学,硕士,Communication,被拒,2016,2,,6.5,0,211 & 985,通信工程,85.23,,,,一个半年相关工作经历，一个三个月在中国移动的实习。
阿克伦大学,硕士,Polymer Engineering,被拒,2015,2,93,,319,211 & 985,材料科学与工程,90,211 & 985,,,"无文章
无牛推
校级奖学金
校级优秀学生"
阿拉巴马大学,博士,Ecology and Evolutionary Biology,被拒,2015,1,87,,308,211 & 985,生物学,86,211 & 985,生物学,81,"SCI 四篇 一个Nature子刊8作
无一作论文，均为挂名
获得国家奖学金一次
各种水奖一堆
本科有出国交流过
本科保研，研究生水水的过"
阿姆斯特丹大学,硕士,System and Network Engineering,被拒,2015,2,,6.5,0,211 & 985,通信工程,80,,,,
阿姆斯特丹大学,硕士,Child Development and Education,被拒,2017,3,,7,0,211 & 985,汉语国际教育,83,,,,无论文，无奖学金，绩点一般但是专业课还不错， 无项目，好在母校985而且跟莱顿有交换合作
阿姆斯特丹大学,硕士,Environmental Engineering,被拒,2015,2,97,,319,,电气工程,84,,,,
阿姆斯特丹自由大学,硕士,Computer Science,被拒,2017,0,,6,306,双非,信息管理与信息系统,79,,,,
埃克塞特大学,硕士,Film and Video Studies,被拒,2016,0,,6,0,双非,影视制片管理,85,,,,有一线报业和一线卫视实习和项目经验，有5个月工作经验，申请时交了包含广告微电影、企业宣传片、微电影和纪录片的作品集
埃默里大学,硕士,Policy and Management,被拒,2016,0,,,326,,公共卫生,78,,,,本科时候有CDC的实习，本科毕业后回国在BMGF的中国办工作了一年多
埃默里大学,博士,Chemistry,被拒,2017,3,101,,329,211,化学,80,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,物理化学,84,SCI一篇一作，一篇二作，一篇四作
埃默里大学,硕士,Computer Science,被拒,2017,0,,,317,国外高校（含港澳台）,Sociology,81,,,,
