AppliedSchool,Degree,Major,Result,Year,EnglishLevel,TOEFL,IELTS,GRE,School,SchoolMajor,GPA,Post_School,Post_Major,Post_GPA,Other_Info
南洋理工大学,硕士,Smart Product Design,录取,2016,2,,6.5,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,机械工程及自动化,88.0,,,,两个奖学金，一个校赛三等奖，还有一个学校组织的水水实习。。
香港中文大学,硕士,Visual Culture Studies,录取,2017,3,,7.0,0,211 & 985,土木工程,81.0,,,,两封教授推荐信，一次实习，一个校级奖项
南洋理工,博士,Chemical Engineering,录取,2013,0,,,0,双非,化学,84.0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,有机化学,84,一篇一作NJC 一篇二作CEJ 一篇二作OL
澳大利亚国立大学,硕士,Finance,录取,2016,3,,7.0,0,,金融,87.0,,,,
叶史瓦大学,硕士,Quantitative Finance,录取,2015,3,107.0,,0,,,85.0,,,,各种RA（无paper），sales&trading;实习，一些水活动
塔夫茨大学,硕士,Urban and Environmental Policy and Planning,录取,2017,0,,,315,国外高校（含港澳台）,Urban Studies (Minor in Urban and Region,84.0,,,,"其他条件
1. 专业GPA 3.61；后两年GPA3.71。
2. 18个月Undergraduate Student Researcher经历（UCI Metropolitan Future Initiaves）。
3. 9个月Community Development相关NPO实习 + 5月在UCI本科科研报告会作相关独立研究展示。
4. 两次不相关的Summer School经历，2015在LSE，2016在早稻田的英文Summer Session。
5. 因为这边教授不一定愿意给太多学校交推荐信，这次在UCI拿了6封推荐。分别是UCI MURP Director、设计教授、研究Boss、两位理论教授、还有一位作文老师。
6. 没有Publication。这边PhD很多，但本科在做research的Urban Studies学生很少，我几乎是MFI唯一的本科成员（现在又多了一位）。这段时间一直思考过会不会有相关机会，最后也没有找到，不知道其他美本同学状况如何。我觉得这算是一大遗憾也是今后注意的重点。

依然Pending的项目
1. UPenn MCP - 申请表格有低级语法错误+ Video Interview放弃治疗式回答 + 没投给我最强推的Director教授的信。发了五六批ad都没我，觉得希望不大。
2. UCLA MURP- 这次申请里Planetizen排名最高的项目，Grad Cafe上录取的人数据也特别吓人。申请是投了，结果如何不想太多，也是平常心状态。
3. NYU MUP - 比较偏政策的一个项目，第一批ddl特别早本想放弃，结果还是强行提交了。申请的文件和别的项目很不一样，弄下来也有些累。最近都快忘了这里了。
4. Cambridge PGR/MAUS - 因为申请了LSE和UCL，就干脆把可以申请的剑桥的项目也报了。希望多大不太清楚，加上两个都是一年项目，依然保持平常心。"
新南威尔士大学,硕士,Renewable Energy,录取,2015,2,,6.5,0,211,新能源材料与器件,85.07,,,,
香港城市大学,硕士,Quantitative Analysis for Business,录取,2016,3,,7.0,0,211 & 985,统计学/数学与应用数学,90.0,,,,"数学建模竞赛：美赛一奖2次；国赛一奖1次
十佳大学生 校友奖学金 都是前0.1%的奖学金 还有奖学金若干
北京市三好学生 北京市优秀学生干部 北京市优秀班集体
实习 咨询公司1个拿了个年度优秀员工 国家级蓝皮书署名
还有证券公司1个实习 高中2份实习  
4次实践 拿了国家级奖等11个奖项 创学院历史最佳成绩 全国第15名
3项科研 3项调研 拿到北京市级奖项若干
院团委学生会第一负责人 学院刊物主编 班长 社团社长 雪绒花心理使者负责人  
创办了一个公司和一个社团和一个青年团校 挑战杯创业比赛商赛成绩还可以
统计师双证齐全 证券从业 会计从业 准精算师……反正一些证
还有杂七杂八的东西……大约这样"
圣路易斯大学,博士,Biology,录取,2015,1,89.0,,315,双非,,85.0,211 & 985,,,论文8篇，一作2篇
纽约大学,硕士,Social Work and Youth Services,录取,2015,3,108.0,,321,211,人力资源管理,85.74,,,,
香港浸会大学,硕士,Education,录取,2015,3,,7.0,0,211 & 985,英语,82.0,,,,两篇省级论文，两次学校实习，一次支教经历，有些学校小奖项
欧道明大学,硕士,Electrical and Computer Engineering,录取,2015,2,92.0,,318,211,信息显示与光电技术,84.0,,,,大半年实验室研究，无paper。
香港城市大学,硕士,Communication and New Media,录取,2014,0,,,0,双非,新闻,81.0,,,,连续两年暑假在报社实习and发表作品80余篇，有网站媒体实习经验……申请之后认真地排版了作品集送到学校去^^
凯斯西储大学,硕士,International Business Law,录取,2017,2,91.0,,311,双非,法务会计,83.38,,,,"一个半月的海外志愿者经历，法院律所实习两次，参加学校的志愿活动很多，大型志愿者活动组织过几次。
GPA我们学校算的很严，3不到，申请老师重新帮我算了，不知道具体多少但是3往上。GPA渣估计顶多3.1-3.2的样子。继续等~~~"
香港理工大学,硕士,Construction and Real Estate,录取,2014,0,,,0,双非,,88.0,,,,人大属于其他高校！寄托真是牛。。。
天普大学,硕士,Public Health Studies,录取,2015,1,80.0,,310,双非,公共卫生,85.0,,,,实习一年，发表论文一篇，奖学金5次
兰卡斯特大学,硕士,Finance,录取,2015,3,,7.0,0,211,金融,86.0,,,,法国交换半年
罗德岛设计学院,硕士,Architecture,录取,2015,2,102.0,6.5,326,211,建筑,84.0,清华/北大/中科大,,,
西北大学,硕士,Law and Business,录取,2015,3,103.0,,0,211,国际经济法,78.0,,,,"4年公司6年律师。
推荐信：老板（律所管理合伙人）、客户（500强美企亚太区法务总监）、大学老师。"
范德堡大学,硕士,Learning and Design,录取,2017,3,106.0,,322,211,汉语国际教育,87.0,,,,
墨尔本大学,硕士,Engineering Project Management,录取,2015,2,,6.5,0,,工程管理,84.0,,,,
斯德哥尔摩大学,硕士,Marketing,录取,2016,2,,6.5,0,211 & 985,市场营销,84.23,,,,专业课均分90＋，校一等奖学金，校优秀学生，院优秀干部，日企PR公司实习
爱丁堡大学,硕士,International Commercial Law,录取,2015,3,,7.0,0,双非,民商法,84.0,,,,水水地在律所，法院实习过一阵子；参加过一个全国的Moot，二等奖吧；还有一个省级创新实验项目，发表水论文一篇；拿过一次国家奖学金，两次校内一等奖；在大一时候建立过一个志愿者NGO，哈哈哈，特别有意思，不过现在没有坚持下去了。
